ROW_CSS_CLASS	name	name_HREF	bash	mksh	ksh	toysh	sush	brush	osh
cpp-good	process-sub	process-sub.html	0	-5	-5	-3	-2	0	4
cpp-good	prompt	prompt.html	0	-25	-31	-31	-31	-12	-6
cpp-good	quote	quote.html	0	-6	-6	0	-1	-5	2
cpp-good	redirect	redirect.html	0	-5	-5	-16	-12	-8	1
cpp-good	redirect-command	redirect-command.html	0	-1	-1	-2	-4	-2	1
cpp-good	redirect-multi	redirect-multi.html	0	-7	-8	-3	-2	-2	2
cpp-good	redir-order	redir-order.html	0	0	0	-2	0	-1	-1
cpp-good	regex	regex.html	0	-29	-29	-24	-12	-5	2
cpp-good	serialize	serialize.html	0	-3	-3	-7	-4	-1	0
cpp-good	sh-func	sh-func.html	0	0	0	0	-2	-1	0
cpp-good	sh-options	sh-options.html	0	-14	-14	-26	-22	-6	8
cpp-good	sh-options-bash	sh-options-bash.html	0	-6	-6	-6	-6	-1	-2
cpp-good	sh-usage	sh-usage.html	0	-3	-3	-5	-4	-3	2
cpp-good	smoke	smoke.html	0	0	0	-2	0	-1	0
cpp-good	subshell	subshell.html	0	0	0	0	0	0	0
cpp-good	temp-binding	temp-binding.html	0	-3	-2	-3	-3	0	-1
cpp-good	tilde	tilde.html	0	0	0	-9	-4	-7	1
cpp-good	toysh	toysh.html	0	-7	-5	-5	-2	-3	-4
cpp-good	toysh-posix	toysh-posix.html	0	1	1	-6	-4	-3	-2
cpp-good	type-compat	type-compat.html	0	-3	-3	-3	-4	-2	-2
cpp-good	unicode	unicode.html	0	-4	-4	-7	-7	-5	0
cpp-good	var-num	var-num.html	0	0	0	1	0	1	1
cpp-good	var-op-bash	var-op-bash.html	0	-18	-19	-12	-14	-3	-4
cpp-good	var-op-len	var-op-len.html	0	-2	-1	-3	-1	-3	3
cpp-good	var-op-patsub	var-op-patsub.html	0	-8	-7	-15	-12	-7	-1
cpp-good	var-op-slice	var-op-slice.html	0	-15	-12	-14	-7	-7	0
cpp-good	var-op-strip	var-op-strip.html	0	-9	-4	-17	-8	-5	0
cpp-good	var-op-test	var-op-test.html	0	-8	-7	-25	-16	-13	-1
