case	shell	result
31	mksh	pass
31	ksh	pass
31	toysh	FAIL
31	sush	FAIL
31	brush	pass
31	osh	pass
32	bash	pass
32	dash	pass
32	ash	pass
32	zsh	pass
32	mksh	pass
32	ksh	pass
32	toysh	FAIL
32	sush	pass
32	brush	pass
32	osh	pass
33	bash	pass
33	dash	pass
33	ash	pass
33	zsh	pass
33	mksh	pass
33	ksh	pass
33	toysh	FAIL
33	sush	pass
33	brush	pass
33	osh	pass
34	bash	pass
34	dash	pass
34	ash	pass
34	zsh	pass
34	mksh	pass
34	ksh	pass
34	toysh	FAIL
34	sush	pass
34	brush	FAIL
34	osh	pass
35	bash	pass
35	dash	pass
35	ash	pass
35	zsh	pass
35	mksh	pass
35	ksh	pass
35	toysh	FAIL
35	sush	FAIL
35	brush	FAIL
35	osh	ok
36	bash	pass
36	dash	pass
36	ash	pass
36	zsh	pass
36	mksh	pass
36	ksh	pass
36	toysh	FAIL
36	sush	FAIL
36	brush	FAIL
36	osh	ok
37	bash	pass
37	dash	pass
37	ash	pass
37	zsh	pass
37	mksh	pass
37	ksh	pass
37	toysh	FAIL
37	sush	pass
37	brush	pass
37	osh	pass
38	bash	pass
38	dash	pass
38	ash	pass
38	zsh	pass
38	mksh	pass
38	ksh	pass
38	toysh	FAIL
38	sush	pass
38	brush	pass
38	osh	pass
39	bash	BUG
39	dash	pass
39	ash	pass
39	zsh	pass
39	mksh	pass
39	ksh	pass
39	toysh	FAIL
39	sush	FAIL
39	brush	FAIL
39	osh	pass
40	bash	pass
40	dash	N-I
40	ash	FAIL
40	zsh	N-I
40	mksh	pass
40	ksh	pass
40	toysh	FAIL
40	sush	pass
40	brush	pass
40	osh	pass
41	bash	pass
41	dash	pass
41	ash	pass
41	zsh	pass
41	mksh	pass
41	ksh	pass
41	toysh	FAIL
41	sush	pass
41	brush	FAIL
41	osh	pass
42	bash	pass
42	dash	pass
42	ash	pass
42	zsh	pass
42	mksh	pass
42	ksh	pass
42	toysh	FAIL
42	sush	pass
42	brush	FAIL
42	osh	pass
43	bash	pass
43	dash	pass
43	ash	pass
43	zsh	pass
43	mksh	pass
43	ksh	pass
43	toysh	FAIL
43	sush	pass
43	brush	pass
43	osh	pass
44	bash	pass
44	dash	pass
44	ash	pass
44	zsh	pass
