case	shell	result
31	toysh	FAIL
31	sush	pass
31	brush	pass
31	osh	pass
32	bash	FAIL
32	dash	N-I
32	ash	FAIL
32	zsh	BUG
32	mksh	N-I
32	ksh	FAIL
32	toysh	FAIL
32	sush	FAIL
32	brush	pass
32	osh	ok
33	bash	pass
33	dash	N-I
33	ash	FAIL
33	zsh	N-I
33	mksh	N-I
33	ksh	FAIL
33	toysh	FAIL
33	sush	FAIL
33	brush	FAIL
33	osh	pass
34	bash	pass
34	dash	N-I
34	ash	FAIL
34	zsh	pass
34	mksh	N-I
34	ksh	FAIL
34	toysh	FAIL
34	sush	pass
34	brush	pass
34	osh	pass
35	bash	pass
35	dash	N-I
35	ash	FAIL
35	zsh	N-I
35	mksh	pass
35	ksh	pass
35	toysh	FAIL
35	sush	FAIL
35	brush	pass
35	osh	pass
36	bash	pass
36	dash	pass
36	ash	pass
36	zsh	BUG
36	mksh	pass
36	ksh	pass
36	toysh	pass
36	sush	pass
36	brush	pass
36	osh	pass
37	bash	pass
37	dash	ok
37	ash	FAIL
37	zsh	BUG
37	mksh	pass
37	ksh	pass
37	toysh	FAIL
37	sush	FAIL
37	brush	FAIL
37	osh	pass
38	bash	BUG
38	dash	ok
38	ash	FAIL
38	zsh	pass
38	mksh	BUG
38	ksh	FAIL
38	toysh	FAIL
38	sush	FAIL
38	brush	FAIL
38	osh	FAIL
39	bash	pass
39	dash	N-I
39	ash	FAIL
39	zsh	N-I
39	mksh	BUG
39	ksh	FAIL
39	toysh	FAIL
39	sush	pass
39	brush	FAIL
39	osh	pass
40	bash	pass
40	dash	N-I
40	ash	FAIL
40	zsh	N-I
40	mksh	BUG
40	ksh	FAIL
40	toysh	FAIL
40	sush	pass
40	brush	FAIL
40	osh	pass
